Subperiodo,Interpretación,Método,N días,Retorno total,CAGR,Vol anual,Sharpe,MaxDD,Turnover total,Coste total
2017-2019,Mercado previo al COVID,1/N,754,0.31361628713116296,0.09545427585848065,0.06870545658036711,1.3615274367817363,-0.10986832764859411,0.0,0.0
2020,Shock COVID y recuperación,1/N,253,0.15734524000934647,0.15667696872452685,0.19505097221438242,0.8447645286832546,-0.22176095572450472,0.0,0.0
2021-2022,"Inflación, subidas de tipos y mercado más difícil",1/N,503,-0.05550953693938987,-0.028206177500487595,0.12327369632855886,-0.1705953016563062,-0.21601252856760123,0.0,0.0
2023-2026,Recuperación y nuevo ciclo alcista,1/N,791,0.5698907641138025,0.15451846100218858,0.09626200058093888,1.5410304396790306,-0.0980105741472862,0.0,0.0
2017-2019,Mercado previo al COVID,Markowitz CAP10 + costes,754,0.30743371889348103,0.09372841599900505,0.06656556762535938,1.3794364002764403,-0.11364311485321432,2.81057022228767,0.0028105702222869493
2020,Shock COVID y recuperación,Markowitz CAP10 + costes,253,0.15461493313719332,0.15395901119269229,0.17678000926668208,0.8992685433752536,-0.20384837269191147,1.029318937736171,0.0010293189377358876
2021-2022,"Inflación, subidas de tipos y mercado más difícil",Markowitz CAP10 + costes,503,-0.06728814956193263,-0.03429678943110448,0.11567654792999776,-0.2439474487617099,-0.2168882855940597,2.077312000809914,0.00207731200080959
2023-2026,Recuperación y nuevo ciclo alcista,Markowitz CAP10 + costes,791,0.5119017019048766,0.1407575328017272,0.08994331389940007,1.5094066651428808,-0.09015029636937155,3.6598855896398406,0.0036598855896391833
2017-2019,Mercado previo al COVID,Mediana+MAD Random CAP10 + costes,754,0.28667256472790403,0.08789288306516063,0.07114209542095411,1.2198914468954967,-0.13270932908080824,6.36450030593173,0.006364500305930849
2020,Shock COVID y recuperación,Mediana+MAD Random CAP10 + costes,253,0.197442256588922,0.19658973601681962,0.18605085866915086,1.0586027492129524,-0.19791139158428905,1.418984047530994,0.001418984047530771
2021-2022,"Inflación, subidas de tipos y mercado más difícil",Mediana+MAD Random CAP10 + costes,503,-0.06010496046636982,-0.03057789433221947,0.12310375764839517,-0.19084634595010797,-0.2117728858421828,3.850432766401634,0.00385043276640109
2023-2026,Recuperación y nuevo ciclo alcista,Mediana+MAD Random CAP10 + costes,791,0.5878045662479137,0.15869928906707242,0.09582007838730773,1.585441357135571,-0.09812145118156301,7.527022063300139,0.007527022063299029
2017-2019,Mercado previo al COVID,Mediana+MAD DE CAP10 + costes,754,0.30164425222156477,0.09210735686528415,0.0684918063316178,1.3208659640388354,-0.12530629345588318,6.274994845946298,0.006274994845945568
2020,Shock COVID y recuperación,Mediana+MAD DE CAP10 + costes,253,0.19791873869708732,0.19706399653236817,0.18561404976494528,1.0628007627358007,-0.1985251203787053,0.9681304900195171,0.0009681304900194086
2021-2022,"Inflación, subidas de tipos y mercado más difícil",Mediana+MAD DE CAP10 + costes,503,-0.03541519777885693,-0.01790241905826373,0.12330231045311257,-0.08500487956515314,-0.19782600196779465,3.8721565410183616,0.003872156541017606
2023-2026,Recuperación y nuevo ciclo alcista,Mediana+MAD DE CAP10 + costes,791,0.5312371509740919,0.14538523230331446,0.09622730914689788,1.458974062107549,-0.1021253605005179,5.787907890060656,0.005787907890059453
2017-2019,Mercado previo al COVID,"Mediana+MAD DE + η = 0,0010",754,0.2904926984974112,0.08897132587246981,0.0685221023392086,1.2783316819391723,-0.1319018662411241,2.1170405476255345,0.002117040547625183
2020,Shock COVID y recuperación,"Mediana+MAD DE + η = 0,0010",253,0.18782478486164167,0.18701694576395345,0.1851035134257777,1.0196542154027608,-0.1991606841105168,0.3619059606459136,0.00036190596064589946
2021-2022,"Inflación, subidas de tipos y mercado más difícil","Mediana+MAD DE + η = 0,0010",503,-0.03841484054768263,-0.01943369578225529,0.12434567626859647,-0.09579339452408507,-0.20139781285793057,1.9293735390963525,0.001929373539095955
2023-2026,Recuperación y nuevo ciclo alcista,"Mediana+MAD DE + η = 0,0010",791,0.5892672095212588,0.15903922722332142,0.09595408635782193,1.5864066167006645,-0.09013015459729179,2.1416013006535586,0.0021416013006533593
